id_paradero,id_parada,id_ruta,nro_parada,nombre_ruta,codigo_ruta,tipo_ruta,empresa,longitud,latitud,recorrido,sistema_ruta,tipo_parada,objectid
52102,90080045,90080,45,PICACHO,254,DIRECTA CENTRO,TRANSPORTE MEDELLÍN CASTILLA,-75.5871781,6.27989903,DESTINO-ORIGEN,2A,REGLAMENTARIA,1438
51028,90061003,90061,3,BLANQUIZAL CALAZANÍA,246C,DIRECTA CENTRO,COOTRANSBLAN,-75.60927807,6.272605,ORIGEN-DESTINO,2A,REGLAMENTARIA,1439
51415,90007047,90007,47,DIRECTA CIRCULAR,310,CIRCULAR,COONATRA,-75.60154818,6.26672562,DESTINO-ORIGEN,"CIRCULAR COONATRA 300, 301, 310, 311",REGLAMENTARIA,1440
52019,90099052,90099,52,ÉXITO,267,DIRECTA CENTRO,PALENQUE ROBLEDAL,-75.58871027,6.28782219,DESTINO-ORIGEN,2A,REGLAMENTARIA,1441
52622,90001032,90001,32,CIRCULAR HORARIO 303,303,CIRCULAR,COONATRA,-75.5772879,6.20377884,DESTINO-ORIGEN,CIRCULAR DERECHA 303,REGLAMENTARIA,1442
51317,90016015,90016,15,CIRCULAR 316,316,CIRCULAR,SANTRA,-75.60276952,6.24088144,ORIGEN-DESTINO,CIRCULAR 315 Y 316,REGLAMENTARIA,1443
50246,90087015,90087,15,VEREDA EL LLANO - PARQUE SAN CRISTÓBAL,255V1,DIRECTA NO CENTRO,RÁPIDO SAN CRISTÓBAL,-75.64301081,6.28659137,DESTINO-ORIGEN,2A,REGLAMENTARIA,1444
53481,90005032,90005,32,CIRCULAR,300,CIRCULAR,COONATRA,-75.56482334,6.25797894,DESTINO-ORIGEN,"CIRCULAR COONATRA 300, 301, 310, 311",REGLAMENTARIA,1445
53068,90072023,90072,23,MORAVIA,250M,INTEGRADA,PALENQUE ROBLEDAL,-75.57093711,6.27629631,DESTINO-ORIGEN,2A,REGLAMENTARIA,1446
52095,90097037,90097,37,BRISAS,260BR,DIRECTA CENTRO,PALENQUE ROBLEDAL,-75.58728518,6.28691894,DESTINO-ORIGEN,2A,REGLAMENTARIA,1447
52499,90012009,90012,9,RUTA DE LA SALUD DERECHA DIRECTA,308D,CIRCULAR,COINVETRANS,-75.57978223,6.28066755,ORIGEN-DESTINO,"CIRCULAR 304, 305, 308, 308D, 309, 309D",REGLAMENTARIA,1448
53650,90003042,90003,42,CIRCULAR ANTIHORARIO 302,302,CIRCULAR,AUTOBUSES POBLADO LAURELES,-75.56236932,6.2528954,DESTINO-ORIGEN,CIRCULAR IZQUIERDA 302,REGLAMENTARIA,1449
52416,90014005,90014,5,RUTA DE LA SALUD IZQUIERDA DIRECTA,309D,CIRCULAR,COINVETRANS,-75.58120889,6.27749361,ORIGEN-DESTINO,"CIRCULAR 304, 305, 308, 308D, 309, 309D",REGLAMENTARIA,1450
50364,90083077,90083,77,SAN CRISTÓBAL - DOÑA MARÍA,255,DIRECTA CENTRO,RÁPIDO SAN CRISTÓBAL,-75.63620226,6.27863948,DESTINO-ORIGEN,2A,REGLAMENTARIA,1451
51848,90374021,90374,21,BELEN LA GLORIA,172-178 FUSION,DIRECTA CENTRO,COOTRABEL,-75.59088576,6.23794334,ORIGEN-DESTINO,3A,REGLAMENTARIA,1452
51401,90001047,90001,47,CIRCULAR HORARIO 303,303,CIRCULAR,COONATRA,-75.601752,6.22745528,DESTINO-ORIGEN,CIRCULAR DERECHA 303,REGLAMENTARIA,1453
51513,90081023,90081,23,NUEVO OCCIDENTE-LAS FLORES,255A,DIRECTA CENTRO,RÁPIDO SAN CRISTÓBAL,-75.59978095,6.27975844,ORIGEN-DESTINO,2A,REGLAMENTARIA,1454
