objectid;direccion;localizacion;link_foto;link_detalle;longitud;latitud
42;CR 70 CL14;AEROPARQUE;HTTPS://WWW.MEDELLIN.GOV.CO/SIMM/CAMARAS-CCTV/IMAGEN48.JPG;HTTPS://WWW.MEDELLIN.GOV.CO/SIMM/;-755919782;622278053
43;CR 43 CL 14;HIGH LIGHT;HTTPS://WWW.MEDELLIN.GOV.CO/SIMM/CAMARAS-CCTV/IMAGEN20.JPG;HTTPS://WWW.MEDELLIN.GOV.CO/SIMM/;-7557730651;621737836
44;CR 50 CL 25;AUTOPISTA SUR SENTIDO N-S - LEONISA 14 Y 10;HTTPS://WWW.MEDELLIN.GOV.CO/SIMM/CAMARAS-CCTV/IMAGEN37.JPG;HTTPS://WWW.MEDELLIN.GOV.CO/SIMM/;-7557803608;621656244
45;CL 10 CR 50;PUENTE DE LA 10 SOBRE AV. REGIONAL;HTTPS://WWW.MEDELLIN.GOV.CO/SIMM/CAMARAS-CCTV/IMAGEN47.JPG;HTTPS://WWW.MEDELLIN.GOV.CO/SIMM/;-7557918943;621364001
46;CL 16 CR 30;RESTAURANTE ASIA;HTTPS://WWW.MEDELLIN.GOV.CO/SIMM/CAMARAS-CCTV/IMAGEN3.JPG;HTTPS://WWW.MEDELLIN.GOV.CO/SIMM/;-7556263483;621526121
47;CR 50 CL 4;COLTABACO;HTTPS://WWW.MEDELLIN.GOV.CO/SIMM/CAMARAS-CCTV/IMAGEN13.JPG;HTTPS://WWW.MEDELLIN.GOV.CO/SIMM/;-7557896412;620997896
48;CR 49 CL 7;INEM;HTTPS://WWW.MEDELLIN.GOV.CO/SIMM/CAMARAS-CCTV/IMAGEN21.JPG;HTTPS://WWW.MEDELLIN.GOV.CO/SIMM/;-7557831503;620897103
49;TV 7A DG 29D;TRV INFERIOR CON TESORO;HTTPS://WWW.MEDELLIN.GOV.CO/SIMM/CAMARAS-CCTV/IMAGEN30.JPG;HTTPS://WWW.MEDELLIN.GOV.CO/SIMM/;-7556054003;620453667
50;CR 52 CL 8S;BOCA DEL CARIBE;HTTPS://WWW.MEDELLIN.GOV.CO/SIMM/CAMARAS-CCTV/IMAGEN25.JPG;HTTPS://WWW.MEDELLIN.GOV.CO/SIMM/;-7558805413;620209415
51;CR 50FF CL 8;SUR VIVERO;HTTPS://WWW.MEDELLIN.GOV.CO/SIMM/CAMARAS-CCTV/IMAGEN23.JPG;HTTPS://WWW.MEDELLIN.GOV.CO/SIMM/;-7558449215;620078756
