id_paradero,id_parada,id_ruta,nro_parada,nombre_ruta,codigo_ruta,tipo_ruta,empresa,longitud,latitud,recorrido,sistema_ruta,tipo_parada
51029,90065004,90065,4,PAJARITO INTEGRADA,250AIP,INTEGRADA,PALENQUE ROBLEDAL,-75.60925968,6.28183114,DESTINO-ORIGEN,2A,REGLAMENTARIA
52144,90004039,90004,39,TERMINAL DEL NORTE-TERMINAL DEL SUR,313,CIRCULAR,COMBUSES,-75.58598501,6.21796043,DESTINO-ORIGEN,CIRCULAR 313,REGLAMENTARIA
53234,90104027,90104,27,ALFONSO LÓPEZ - VIEJO TERMINAL,261A,DIRECTA CENTRO,TRANSPORTE MEDELLÍN CASTILLA,-75.56858745,6.25635476,ORIGEN-DESTINO,2B,REGLAMENTARIA
53578,90013058,90013,58,RUTA DE LA SALUD IZQUIERDA,309,CIRCULAR,COINVETRANS,-75.56355521,6.26280375,DESTINO-ORIGEN,"CIRCULAR 304, 305, 308, 308D, 309, 309D",REGLAMENTARIA
53978,90008033,90008,33,DIRECTA CIRCULAR,311,CIRCULAR,COONATRA,-75.55721928,6.24739892,DESTINO-ORIGEN,"CIRCULAR COONATRA 300, 301, 310, 311",REGLAMENTARIA
51489,90006017,90006,17,CIRCULAR,301,CIRCULAR,COONATRA,-75.60010792,6.24296744,ORIGEN-DESTINO,"CIRCULAR COONATRA 300, 301, 310, 311",REGLAMENTARIA
52116,90075042,90075,42,KENNEDY,252,DIRECTA CENTRO,PALENQUE ROBLEDAL,-75.58678006,6.28083861,DESTINO-ORIGEN,2A,REGLAMENTARIA
51766,90009014,90009,14,COMERCIAL HOTELERA DERECHA,304,CIRCULAR,INVETRANS,-75.59453457,6.24409116,ORIGEN-DESTINO,"CIRCULAR 304, 305, 308, 308D, 309, 309D",REGLAMENTARIA
53255,90015026,90015,26,CIRCULAR 315,315,CIRCULAR,SANTRA,-75.56826123,6.24189207,ORIGEN-DESTINO,CIRCULAR 315 Y 316,REGLAMENTARIA
50747,90093086,90093,86,LAS FLORES-MORAVIA-CENTRO,255A,DIRECTA CENTRO,RÁPIDO SAN CRISTÓBAL,-75.6185573,6.2827052,DESTINO-ORIGEN,2A,REGLAMENTARIA
51745,90059009,90059,9,BLANQUIZAL CALAZANÍA DIRECTA,246D,DIRECTA CENTRO,COOTRANSBLAN,-75.59520874,6.27221482,ORIGEN-DESTINO,2A,REGLAMENTARIA
52317,90095038,90095,38,CÓRDOBA,260C,DIRECTA CENTRO,PALENQUE ROBLEDAL,-75.58286424,6.28350336,DESTINO-ORIGEN,2A,REGLAMENTARIA
51498,90006018,90006,18,CIRCULAR,301,CIRCULAR,COONATRA,-75.59996865,6.24505747,ORIGEN-DESTINO,"CIRCULAR COONATRA 300, 301, 310, 311",REGLAMENTARIA
51173,90073005,90073,5,PAJARITO,250AP,DIRECTA CENTRO,PALENQUE ROBLEDAL,-75.60582839,6.28205465,ORIGEN-DESTINO,2A,REGLAMENTARIA
52376,90075005,90075,5,KENNEDY,252,DIRECTA CENTRO,PALENQUE ROBLEDAL,-75.58204616,6.2870918,ORIGEN-DESTINO,2A,REGLAMENTARIA
51997,90014031,90014,31,RUTA DE LA SALUD IZQUIERDA DIRECTA,309D,CIRCULAR,COINVETRANS,-75.58970712,6.2600732,ORIGEN-DESTINO,"CIRCULAR 304, 305, 308, 308D, 309, 309D",REGLAMENTARIA
50667,90085030,90085,30,METROCABLE LA AURORA,255ID,INTEGRADA,RÁPIDO SAN CRISTÓBAL,-75.62170065,6.28355222,DESTINO-ORIGEN,2A,REGLAMENTARIA
55300,90107014,90107,14,ALFONSO LÓPEZ CALLE 94,261,DIRECTA CENTRO,TRANSPORTE MEDELLÍN CASTILLA,-75.57410949,6.28723624,ORIGEN-DESTINO,2B,REGLAMENTARIA
52350,90080054,90080,54,PICACHO,254,DIRECTA CENTRO,TRANSPORTE MEDELLÍN CASTILLA,-75.58234929,6.30292074,DESTINO-ORIGEN,2A,REGLAMENTARIA
51354,90007048,90007,48,DIRECTA CIRCULAR,310,CIRCULAR,COONATRA,-75.60232583,6.26791731,DESTINO-ORIGEN,"CIRCULAR COONATRA 300, 301, 310, 311",REGLAMENTARIA
52950,90016048,90016,48,CIRCULAR 316,316,CIRCULAR,SANTRA,-75.57247659,6.25072413,DESTINO-ORIGEN,CIRCULAR 315 Y 316,REGLAMENTARIA
55157,90097006,90097,6,BRISAS,260BR,DIRECTA CENTRO,PALENQUE ROBLEDAL,-75.58476105,6.2848234,ORIGEN-DESTINO,2A,REGLAMENTARIA
51828,90075034,90075,34,KENNEDY,252,DIRECTA CENTRO,PALENQUE ROBLEDAL,-75.59299962,6.26191356,DESTINO-ORIGEN,2A,REGLAMENTARIA
51723,90010067,90010,67,COMERCIAL HOTELERA IZQUIERDA,305,CIRCULAR,INVETRANS,-75.595785,6.2647808,DESTINO-ORIGEN,"CIRCULAR 304, 305, 308, 308D, 309, 309D",REGLAMENTARIA
53675,90002024,90002,24,CIRCULAR 286,286,CIRCULAR,COMBUSES,-75.56188352,6.27012233,DESTINO-ORIGEN,CIRCULAR 286,REGLAMENTARIA
51450,90016074,90016,74,CIRCULAR 316,316,CIRCULAR,SANTRA,-75.60089984,6.23204927,DESTINO-ORIGEN,CIRCULAR 315 Y 316,REGLAMENTARIA
51840,90096032,90096,32,SEMINARIO INTEGRADA,260I,INTEGRADA,PALENQUE ROBLEDAL,-75.59273697,6.29132404,DESTINO-ORIGEN,2A,REGLAMENTARIA
52821,90003045,90003,45,CIRCULAR ANTIHORARIO 302,302,CIRCULAR,AUTOBUSES POBLADO LAURELES,-75.57445033,6.25509627,DESTINO-ORIGEN,CIRCULAR IZQUIERDA 302,REGLAMENTARIA
50788,90064001,90064,1,BLANQUIZAL INTEGRADA,246II,INTEGRADA,COOTRANSBLAN,-75.61678934,6.27070684,ORIGEN-DESTINO,2A,REGLAMENTARIA
51955,90076001,90076,1,AURES DERECHA,253D,DIRECTA CENTRO,PALENQUE ROBLEDAL,-75.59057292,6.2951107,ORIGEN-DESTINO,2A,REGLAMENTARIA
52006,90010012,90010,12,COMERCIAL HOTELERA IZQUIERDA,305,CIRCULAR,INVETRANS,-75.58914926,6.24680087,ORIGEN-DESTINO,"CIRCULAR 304, 305, 308, 308D, 309, 309D",REGLAMENTARIA
52655,90105022,90105,22,PILARICA INTEGRADA,254I,INTEGRADA,TRANSPORTE MEDELLÍN CASTILLA,-75.57674378,6.26852921,DESTINO-ORIGEN,2B,REGLAMENTARIA
51457,90006025,90006,25,CIRCULAR,301,CIRCULAR,COONATRA,-75.60077814,6.26179099,ORIGEN-DESTINO,"CIRCULAR COONATRA 300, 301, 310, 311",REGLAMENTARIA
52534,90004012,90004,12,TERMINAL DEL NORTE-TERMINAL DEL SUR,313,CIRCULAR,COMBUSES,-75.57882732,6.24998386,ORIGEN-DESTINO,CIRCULAR 313,REGLAMENTARIA
51082,90073003,90073,3,PAJARITO,250AP,DIRECTA CENTRO,PALENQUE ROBLEDAL,-75.60794814,6.28496728,ORIGEN-DESTINO,2A,REGLAMENTARIA
51962,90010006,90010,6,COMERCIAL HOTELERA IZQUIERDA,305,CIRCULAR,INVETRANS,-75.59041234,6.26003535,ORIGEN-DESTINO,"CIRCULAR 304, 305, 308, 308D, 309, 309D",REGLAMENTARIA
51862,90079033,90079,33,ROBLEDO AURES INTEGRADA RAMAL,253IAR,INTEGRADA,PALENQUE ROBLEDAL,-75.59208541,6.28817267,DESTINO-ORIGEN,2A,REGLAMENTARIA
50057,90091014,90091,14,IZQUIERDA VEREDA BOQUERÓN - PARQUE SAN CRISTÓBAL,255V3,DIRECTA NO CENTRO,RÁPIDO SAN CRISTÓBAL,-75.65850216,6.32083605,DESTINO-ORIGEN,2A,REGLAMENTARIA
53990,90007031,90007,31,DIRECTA CIRCULAR,310,CIRCULAR,COONATRA,-75.55706717,6.25041588,ORIGEN-DESTINO,"CIRCULAR COONATRA 300, 301, 310, 311",REGLAMENTARIA
50745,90005001,90005,1,CIRCULAR,300,CIRCULAR,COONATRA,-75.61858263,6.23572064,ORIGEN-DESTINO,"CIRCULAR COONATRA 300, 301, 310, 311",REGLAMENTARIA
51195,90072037,90072,37,MORAVIA,250M,INTEGRADA,PALENQUE ROBLEDAL,-75.60539444,6.28884825,DESTINO-ORIGEN,2A,REGLAMENTARIA
52033,90003049,90003,49,CIRCULAR ANTIHORARIO 302,302,CIRCULAR,AUTOBUSES POBLADO LAURELES,-75.5884227,6.2493347,DESTINO-ORIGEN,CIRCULAR IZQUIERDA 302,REGLAMENTARIA
52614,90104047,90104,47,ALFONSO LÓPEZ - VIEJO TERMINAL,261A,DIRECTA CENTRO,TRANSPORTE MEDELLÍN CASTILLA,-75.57745428,6.298624,DESTINO-ORIGEN,2B,REGLAMENTARIA
53191,90010039,90010,39,COMERCIAL HOTELERA IZQUIERDA,305,CIRCULAR,INVETRANS,-75.56912372,6.18098206,ORIGEN-DESTINO,"CIRCULAR 304, 305, 308, 308D, 309, 309D",REGLAMENTARIA
52078,90094042,90094,42,CLÍNICA,260CL,DIRECTA CENTRO,PALENQUE ROBLEDAL,-75.58747564,6.2924217,DESTINO-ORIGEN,2A,REGLAMENTARIA
52369,90075046,90075,46,KENNEDY,252,DIRECTA CENTRO,PALENQUE ROBLEDAL,-75.58216555,6.28697808,DESTINO-ORIGEN,2A,REGLAMENTARIA
55156,90014039,90014,39,RUTA DE LA SALUD IZQUIERDA DIRECTA,309D,CIRCULAR,COINVETRANS,-75.5703758,6.24442671,ORIGEN-DESTINO,"CIRCULAR 304, 305, 308, 308D, 309, 309D",REGLAMENTARIA
51487,90015059,90015,59,CIRCULAR 315,315,CIRCULAR,SANTRA,-75.60013603,6.24452572,DESTINO-ORIGEN,CIRCULAR 315 Y 316,REGLAMENTARIA
51906,90070051,90070,51,ROBLEDO VILLA FLORA,250VF,DIRECTA CENTRO,PALENQUE ROBLEDAL,-75.59144064,6.28377905,DESTINO-ORIGEN,2A,REGLAMENTARIA
52731,90107047,90107,47,ALFONSO LÓPEZ CALLE 94,261,DIRECTA CENTRO,TRANSPORTE MEDELLÍN CASTILLA,-75.57548786,6.30739679,DESTINO-ORIGEN,2B,REGLAMENTARIA
51643,90015010,90015,10,CIRCULAR 315,315,CIRCULAR,SANTRA,-75.59728303,6.23374711,ORIGEN-DESTINO,CIRCULAR 315 Y 316,REGLAMENTARIA
50614,90093093,90093,93,LAS FLORES-MORAVIA-CENTRO,255A,DIRECTA CENTRO,RÁPIDO SAN CRISTÓBAL,-75.6236732,6.27919385,DESTINO-ORIGEN,2A,REGLAMENTARIA
